Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.home_assistant_operating_system_version,Home Assistant Operating System Version,16.1,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.100679+00:00,2025-09-01T09:38:48.100679+00:00,sensor,N/A,False,N/A
sensor.home_assistant_operating_system_newest_version,Home Assistant Operating System Newest version,16.1,N/A,N/A,N/A,N/A,2025-09-01T09:38:48.101127+00:00,2025-09-01T09:38:48.101127+00:00,sensor,N/A,False,N/A
sensor.backup_backup_manager_state,Backup Backup Manager state,idle,N/A,enum,N/A,N/A,2025-09-01T09:39:34.525340+00:00,2025-09-01T09:39:34.525340+00:00,sensor,N/A,False,N/A
sensor.backup_next_scheduled_automatic_backup,Backup Next scheduled automatic backup,2025-09-02T07:30:00+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:50.545085+00:00,2025-09-01T09:38:50.545085+00:00,sensor,N/A,False,N/A
sensor.backup_last_successful_automatic_backup,Backup Last successful automatic backup,2025-09-01T07:30:20+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:50.547078+00:00,2025-09-01T09:38:50.547078+00:00,sensor,N/A,False,N/A
sensor.backup_last_attempted_automatic_backup,Backup Last attempted automatic backup,2025-09-01T07:30:00+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:50.548763+00:00,2025-09-01T09:38:50.548763+00:00,sensor,N/A,False,N/A
sensor.onedrive_usage_percentage,OneDrive Usage Percentage,64.2,%,N/A,N/A,mdi:percent,2025-09-01T09:39:19.442307+00:00,2025-09-01T09:39:19.442307+00:00,sensor,N/A,False,N/A
sensor.onedrive_status_simple,OneDrive Status Simple,normal,N/A,N/A,N/A,mdi:cloud,2025-09-01T09:39:19.444038+00:00,2025-09-01T09:39:19.444038+00:00,sensor,N/A,False,N/A
sensor.johanba_server_cpu_temperature_numeric,Johanba Server CPU Temperature Numeric,0,°C,N/A,N/A,N/A,2025-09-01T09:39:19.445123+00:00,2025-09-01T09:39:19.445123+00:00,sensor,N/A,False,N/A
sensor.sun_next_dawn,Sun Next dawn,2025-09-02T03:54:53+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:55.092229+00:00,2025-09-01T09:38:55.092229+00:00,sensor,N/A,False,N/A
